Rank,Team,GM,W-L,OPP PTS,OPP PPG
342,Portland (WCC),33,14-19,"2,594",78.6
135,Prairie View (SWAC),32,13-19,"2,196",68.6
156,Presbyterian (Big South),32,5-27,"2,223",69.5
131,Princeton (Ivy League),29,21-8,"1,988",68.6
215,Providence (Big East),32,21-11,"2,282",71.3
164,Purdue Fort Wayne (Horizon),32,17-15,"2,234",69.8
20,Purdue (Big Ten),34,29-5,"2,133",62.7
160,Quinnipiac (MAAC),32,20-12,"2,231",69.7
38,Radford (Big South),33,19-14,"2,142",64.9
191,Rhode Island (Atlantic 10),31,9-22,"2,190",70.6
323,Rice (C-USA),33,18-15,"2,521",76.4
109,Richmond (Atlantic 10),33,15-18,"2,237",67.8
102,Rider (MAAC),30,16-14,"2,027",67.6
80,Robert Morris (Horizon),33,16-17,"2,205",66.8
8,Rutgers (Big Ten),33,19-14,"1,991",60.3
108,Sacramento St. (Big Sky),32,14-18,"2,169",67.8
211,Sacred Heart (NEC),33,16-17,"2,351",71.2
277,Saint Francis (PA) (NEC),31,13-18,"2,286",73.7
248,Saint Joseph's (Atlantic 10),33,16-17,"2,389",72.4
209,Saint Louis (Atlantic 10),33,21-12,"2,348",71.2
5,Saint Mary's (CA) (WCC),33,26-7,"1,984",60.1
44,Saint Peter's (MAAC),32,14-18,"2,083",65.1
4,Sam Houston (WAC),32,25-7,"1,884",58.9
222,Samford (SoCon),32,21-11,"2,290",71.6
28,San Diego St. (Mountain West),33,27-6,"2,099",63.6
346,San Diego (WCC),31,11-20,"2,495",80.5
271,San Francisco (WCC),34,20-14,"2,496",73.4
72,San Jose St. (Mountain West),33,20-13,"2,199",66.6
272,Santa Clara (WCC),32,23-9,"2,355",73.6
144,Seattle U (WAC),32,20-12,"2,209",69
45,Seton Hall (Big East),32,17-15,"2,084",65.1
169,SFA (WAC),32,19-13,"2,238",69.9
92,Siena (MAAC),32,17-15,"2,151",67.2
214,SIUE (OVC),33,19-14,"2,353",71.3
313,SMU (AAC),32,10-22,"2,418",75.6
46,South Alabama (Sun Belt),35,19-16,"2,282",65.2
352,South Carolina St. (MEAC),31,5-26,"2,599",83.8
254,South Carolina (SEC),32,11-21,"2,324",72.6
163,South Dakota St. (Summit League),32,19-13,"2,233",69.8
275,South Dakota (Summit League),31,12-19,"2,282",73.6
232,South Fla. (AAC),32,14-18,"2,303",72
316,Southeast Mo. St. (OVC),35,19-16,"2,659",76
317,Southeastern La. (Southland),32,18-14,"2,432",76
94,Southern California (Pac-12),32,22-10,"2,152",67.2
12,Southern Ill. (MVC),33,23-10,"2,026",61.4
50,Southern Miss. (Sun Belt),32,25-7,"2,094",65.4
212,Southern U. (SWAC),32,15-17,"2,280",71.2
290,Southern Utah (WAC),34,22-12,"2,529",74.4
105,St. Bonaventure (Atlantic 10),32,14-18,"2,165",67.7
110,St. Francis Brooklyn (NEC),30,14-16,"2,034",67.8
306,St. John's (NY) (Big East),33,18-15,"2,481",75.2
121,Stanford (Pac-12),33,14-19,"2,256",68.4
269,Stetson (ASUN),30,17-13,"2,200",73.3
146,Stony Brook (CAA),33,11-22,"2,279",69.1
261,Syracuse (ACC),32,17-15,"2,333",72.9
113,TCU (Big 12),33,21-12,"2,241",67.9
177,Temple (AAC),32,16-16,"2,247",70.2
301,Tennessee St. (OVC),32,18-14,"2,401",75
270,Tennessee Tech (OVC),33,16-17,"2,421",73.4
3,Tennessee (SEC),33,23-10,"1,915",58
65,Texas A&M (SEC),34,25-9,"2,251",66.2
223,Texas Southern (SWAC),34,14-20,"2,434",71.6
74,Texas St. (Sun Belt),35,16-19,"2,334",66.7
142,Texas Tech (Big 12),32,16-16,"2,208",69
99,Texas (Big 12),34,26-8,"2,292",67.4
287,The Citadel (SoCon),32,10-22,"2,374",74.2
325,Toledo (MAC),34,27-7,"2,601",76.5
77,Towson (CAA),33,21-12,"2,202",66.7
79,Troy (Sun Belt),33,20-13,"2,204",66.8
330,Tulane (AAC),31,20-11,"2,392",77.2
333,Tulsa (AAC),30,5-25,"2,323",77.4
197,UAB (C-USA),34,25-9,"2,408",70.8
307,UAlbany (America East),31,8-23,"2,332",75.2
206,UC Davis (Big West),32,18-14,"2,274",71.1
76,UC Irvine (Big West),34,23-11,"2,268",66.7
148,UC Riverside (Big West),34,22-12,"2,352",69.2
52,UC Santa Barbara (Big West),34,27-7,"2,231",65.6
61,UCF (AAC),32,18-14,"2,111",66
7,UCLA (Pac-12),34,29-5,"2,050",60.3
42,UConn (Big East),33,25-8,"2,146",65
225,UIC (MVC),32,12-20,"2,292",71.6
281,UIW (Southland),31,12-19,"2,290",73.9
166,ULM (Sun Belt),32,11-21,"2,235",69.8
62,UMass Lowell (America East),34,26-8,"2,243",66
259,UMBC (America East),32,18-14,"2,328",72.8
67,UMES (MEAC),31,18-13,"2,054",66.3
133,UNC Asheville (Big South),34,27-7,"2,332",68.6
35,UNC Greensboro (SoCon),32,20-12,"2,064",64.5
33,UNCW (CAA),34,24-10,"2,187",64.3
169,UNI (MVC),32,14-18,"2,238",69.9
172,UNLV (Mountain West),32,19-13,"2,241",70
157,USC Upstate (Big South),31,16-15,"2,158",69.6
