Rank,Team,GM,W-L,FGM,FGA,FG%
250,Detroit Mercy (Horizon),33,14-19,876,"2,024",43.3
43,Drake (MVC),34,27-7,930,"1,977",47
265,Drexel (CAA),32,17-15,773,"1,794",43.1
150,Duke (ACC),34,26-8,884,"1,959",45.1
225,Duquesne (Atlantic 10),32,20-12,871,"1,990",43.8
333,East Carolina (AAC),33,16-17,769,"1,896",40.6
192,Eastern Ill. (OVC),31,9-22,797,"1,800",44.3
239,Eastern Ky. (ASUN),33,20-13,958,"2,202",43.5
215,Eastern Mich. (MAC),31,8-23,803,"1,827",44
8,Eastern Wash. (Big Sky),32,22-10,880,"1,784",49.3
284,Elon (CAA),32,8-24,762,"1,791",42.5
139,ETSU (SoCon),32,12-20,821,"1,814",45.3
343,Evansville (MVC),32,5-27,729,"1,839",39.6
323,Fairfield (MAAC),31,13-18,690,"1,681",41
117,FDU (NEC),34,19-15,971,"2,133",45.5
230,FGCU (ASUN),32,17-15,805,"1,844",43.7
61,FIU (C-USA),32,14-18,867,"1,861",46.6
38,Fla. Atlantic (C-USA),34,31-3,960,"2,034",47.2
351,Florida A&M (SWAC),29,7-22,595,"1,536",38.7
236,Florida St. (ACC),32,9-23,802,"1,840",43.6
213,Florida (SEC),32,16-16,811,"1,845",44
299,Fordham (Atlantic 10),33,25-8,797,"1,901",41.9
267,Fresno St. (Mountain West),31,11-20,720,"1,673",43
18,Furman (SoCon),34,27-7,978,"2,023",48.3
234,Ga. Southern (Sun Belt),33,17-16,840,"1,926",43.6
58,Gardner-Webb (Big South),31,15-16,813,"1,741",46.7
154,George Mason (Atlantic 10),33,20-13,800,"1,774",45.1
45,George Washington (Atlantic 10),32,16-16,869,"1,849",47
291,Georgetown (Big East),32,7-25,818,"1,934",42.3
304,Georgia St. (Sun Belt),31,10-21,745,"1,789",41.6
289,Georgia Tech (ACC),33,15-18,855,"2,019",42.3
325,Georgia (SEC),32,16-16,728,"1,774",41
1,Gonzaga (WCC),33,28-5,"1,076","2,035",52.9
127,Grambling (SWAC),33,24-9,811,"1,785",45.4
71,Grand Canyon (WAC),35,24-11,905,"1,953",46.3
345,Green Bay (Horizon),32,3-29,656,"1,665",39.4
346,Hampton (CAA),32,8-24,759,"1,934",39.2
281,Hartford (DI Independent),28,5-23,659,"1,543",42.7
216,Harvard (Ivy League),28,14-14,700,"1,593",43.9
271,Hawaii (Big West),33,22-11,772,"1,799",42.9
188,High Point (Big South),31,14-17,813,"1,834",44.3
22,Hofstra (CAA),33,24-9,940,"1,955",48.1
235,Holy Cross (Patriot),32,10-22,812,"1,862",43.6
110,Houston Christian (Southland),32,10-22,851,"1,863",45.7
82,Houston (AAC),34,31-3,936,"2,028",46.2
