Rank,Team,GM,W-L,PTS,PPG
142,Purdue (Big Ten),34,29-5,"2,485",73.1
146,Quinnipiac (MAAC),32,20-12,"2,335",73
218,Radford (Big South),33,19-14,"2,301",69.7
308,Rhode Island (Atlantic 10),31,9-22,"2,046",66
57,Rice (C-USA),33,18-15,"2,530",76.7
245,Richmond (Atlantic 10),33,15-18,"2,273",68.9
205,Rider (MAAC),30,16-14,"2,105",70.2
232,Robert Morris (Horizon),33,16-17,"2,287",69.3
268,Rutgers (Big Ten),33,19-14,"2,240",67.9
307,Sacramento St. (Big Sky),32,14-18,"2,114",66.1
193,Sacred Heart (NEC),33,16-17,"2,332",70.7
145,Saint Francis (PA) (NEC),31,13-18,"2,263",73
160,Saint Joseph's (Atlantic 10),33,16-17,"2,388",72.4
83,Saint Louis (Atlantic 10),33,21-12,"2,493",75.5
181,Saint Mary's (CA) (WCC),33,26-7,"2,355",71.4
344,Saint Peter's (MAAC),32,14-18,"1,986",62.1
135,Sam Houston (WAC),32,25-7,"2,341",73.2
29,Samford (SoCon),32,21-11,"2,519",78.7
169,San Diego St. (Mountain West),33,27-6,"2,378",72.1
54,San Diego (WCC),31,11-20,"2,391",77.1
73,San Francisco (WCC),34,20-14,"2,591",76.2
279,San Jose St. (Mountain West),33,20-13,"2,228",67.5
46,Santa Clara (WCC),32,23-9,"2,482",77.6
173,Seattle U (WAC),32,20-12,"2,303",72
255,Seton Hall (Big East),32,17-15,"2,192",68.5
78,SFA (WAC),32,19-13,"2,427",75.8
253,Siena (MAAC),32,17-15,"2,195",68.6
110,SIUE (OVC),33,19-14,"2,463",74.6
201,SMU (AAC),32,10-22,"2,248",70.2
187,South Alabama (Sun Belt),35,19-16,"2,483",70.9
130,South Carolina St. (MEAC),31,5-26,"2,274",73.4
328,South Carolina (SEC),32,11-21,"2,059",64.3
188,South Dakota St. (Summit League),32,19-13,"2,270",70.9
231,South Dakota (Summit League),31,12-19,"2,149",69.3
173,South Fla. (AAC),32,14-18,"2,303",72
44,Southeast Mo. St. (OVC),35,19-16,"2,718",77.7
45,Southeastern La. (Southland),32,18-14,"2,483",77.6
150,Southern California (Pac-12),32,22-10,"2,327",72.7
314,Southern Ill. (MVC),33,23-10,"2,168",65.7
117,Southern Miss. (Sun Belt),32,25-7,"2,376",74.2
176,Southern U. (SWAC),32,15-17,"2,300",71.9
4,Southern Utah (WAC),34,22-12,"2,812",82.7
296,St. Bonaventure (Atlantic 10),32,14-18,"2,136",66.8
325,St. Francis Brooklyn (NEC),30,14-16,"1,946",64.9
50,St. John's (NY) (Big East),33,18-15,"2,552",77.3
197,Stanford (Pac-12),33,14-19,"2,321",70.3
61,Stetson (ASUN),30,17-13,"2,298",76.6
338,Stony Brook (CAA),33,11-22,"2,083",63.1
121,Syracuse (ACC),32,17-15,"2,372",74.1
93,TCU (Big 12),33,21-12,"2,481",75.2
222,Temple (AAC),32,16-16,"2,227",69.6
36,Tennessee St. (OVC),32,18-14,"2,499",78.1
127,Tennessee Tech (OVC),33,16-17,"2,432",73.7
177,Tennessee (SEC),33,23-10,"2,369",71.8
134,Texas A&M (SEC),34,25-9,"2,490",73.2
226,Texas Southern (SWAC),34,14-20,"2,361",69.4
309,Texas St. (Sun Belt),35,16-19,"2,309",66
131,Texas Tech (Big 12),32,16-16,"2,347",73.3
41,Texas (Big 12),34,26-8,"2,647",77.9
281,The Citadel (SoCon),32,10-22,"2,158",67.4
2,Toledo (MAC),34,27-7,"2,909",85.6
178,Towson (CAA),33,21-12,"2,368",71.8
137,Troy (Sun Belt),33,20-13,"2,414",73.2
20,Tulane (AAC),31,20-11,"2,478",79.9
318,Tulsa (AAC),30,5-25,"1,959",65.3
11,UAB (C-USA),34,25-9,"2,768",81.4
285,UAlbany (America East),31,8-23,"2,086",67.3
106,UC Davis (Big West),32,18-14,"2,392",74.8
91,UC Irvine (Big West),34,23-11,"2,559",75.3
159,UC Riverside (Big West),34,22-12,"2,463",72.4
166,UC Santa Barbara (Big West),34,27-7,"2,454",72.2
164,UCF (AAC),32,18-14,"2,311",72.2
122,UCLA (Pac-12),34,29-5,"2,513",73.9
33,UConn (Big East),33,25-8,"2,589",78.5
288,UIC (MVC),32,12-20,"2,149",67.2
190,UIW (Southland),31,12-19,"2,194",70.8
282,ULM (Sun Belt),32,11-21,"2,157",67.4
39,UMass Lowell (America East),34,26-8,"2,653",78
116,UMBC (America East),32,18-14,"2,378",74.3
217,UMES (MEAC),31,18-13,"2,162",69.7
98,UNC Asheville (Big South),34,27-7,"2,551",75
168,UNC Greensboro (SoCon),32,20-12,"2,306",72.1
243,UNCW (CAA),34,24-10,"2,343",68.9
206,UNI (MVC),32,14-18,"2,244",70.1
117,UNLV (Mountain West),32,19-13,"2,376",74.2
244,USC Upstate (Big South),31,16-15,"2,136",68.9
305,UT Arlington (WAC),32,11-21,"2,125",66.4
15,UT Martin (OVC),33,19-14,"2,658",80.5
32,Utah St. (Mountain West),34,26-8,"2,671",78.6
56,Utah Valley (WAC),33,25-8,"2,541",77
251,Utah (Pac-12),32,17-15,"2,197",68.7
255,UTEP (C-USA),32,14-18,"2,192",68.5
30,UTRGV (WAC),32,15-17,"2,518",78.7
233,UTSA (C-USA),32,10-22,"2,217",69.3
242,Valparaiso (MVC),32,11-21,"2,206",68.9
157,Vanderbilt (SEC),34,20-14,"2,465",72.5
180,VCU (Atlantic 10),34,27-7,"2,429",71.4
144,Vermont (America East),33,23-10,"2,410",73
209,Villanova (Big East),33,17-16,"2,309",70
119,Virginia Tech (ACC),33,19-14,"2,449",74.2
271,Virginia (ACC),32,25-7,"2,170",67.8
229,VMI (SoCon),32,7-25,"2,220",69.4
339,Wagner (NEC),28,15-13,"1,766",63.1
60,Wake Forest (ACC),33,19-14,"2,528",76.6
265,Washington St. (Pac-12),33,17-16,"2,250",68.2
238,Washington (Pac-12),32,16-16,"2,213",69.2
286,Weber St. (Big Sky),33,18-15,"2,219",67.2
68,West Virginia (Big 12),33,19-14,"2,518",76.3
114,Western Caro. (SoCon),33,18-15,"2,457",74.5
143,Western Ill. (Summit League),30,16-14,"2,191",73
181,Western Ky. (C-USA),33,17-16,"2,355",71.4
211,Western Mich. (MAC),31,8-23,"2,166",69.9
186,Wichita St. (AAC),32,17-15,"2,272",71
286,William & Mary (CAA),33,13-20,"2,219",67.2
124,Winthrop (Big South),32,15-17,"2,360",73.8
323,Wisconsin (Big Ten),31,17-14,"2,013",64.9
107,Wofford (SoCon),33,17-16,"2,466",74.7
21,Wright St. (Horizon),33,18-15,"2,637",79.9
